invoice_no	fan	radiator	engine	temp	starts	low_oil	oil_light
0	0	1	1	0	0	0	1
1	0	0	0	1	1	0	0
2	1	0	0	0	1	0	1
3	1	1	0	1	0	0	1
4	1	1	0	1	1	0	0
5	1	1	0	0	1	0	1
6	0	1	1	0	1	1	1
7	1	1	0	0	1	0	1
8	0	1	1	0	1	1	0
9	0	1	1	0	1	1	0
10	1	0	1	0	1	0	1
11	1	1	1	0	1	1	1
12	1	1	0	1	1	0	1
13	1	1	0	1	1	0	0
14	1	1	0	1	1	1	0
15	1	0	0	1	1	0	1
16	1	1	0	0	0	0	1
17	1	1	0	1	1	0	1
18	1	1	0	0	1	0	1
19	1	1	0	1	1	1	0
20	1	1	0	0	1	1	0
21	1	1	0	0	1	0	1
22	1	1	0	0	1	0	0
23	1	1	0	1	0	0	1
24	0	1	1	0	1	0	1
25	1	1	0	1	1	0	1
26	1	1	0	1	1	0	0
27	0	1	0	1	1	0	1
28	1	0	0	1	1	0	0
29	1	1	0	1	1	0	1
30	1	1	0	0	1	1	0
31	1	1	0	0	0	0	0
32	1	1	0	0	1	0	0
33	1	1	0	1	1	0	1
34	1	0	1	0	0	0	0
35	1	1	0	0	1	0	0
36	1	1	0	1	0	1	0
37	1	0	0	1	1	1	0
38	1	1	0	1	1	0	1
39	1	0	0	1	1	0	0
40	1	1	0	0	1	1	0
41	1	1	0	1	1	1	0
42	1	1	0	1	1	0	1
43	1	1	0	1	1	1	0
44	1	0	1	0	1	0	1
45	1	1	1	0	0	1	0
46	1	1	0	1	1	1	0
47	1	0	1	0	1	1	0
48	1	0	0	0	1	0	1
49	1	1	0	1	1	0	1
50	0	1	1	0	1	0	0
51	1	1	0	1	1	1	0
52	0	1	1	0	1	0	1
53	1	1	0	1	0	0	0
54	1	1	0	0	1	1	0
55	1	1	0	0	1	0	1
56	1	1	0	0	1	0	1
57	1	1	0	1	1	0	1
58	1	0	1	0	0	0	1
59	1	1	0	1	1	0	1
60	1	1	0	1	1	0	1
61	1	1	1	0	1	0	1
62	1	1	0	0	1	0	1
63	1	1	0	1	1	0	1
64	1	0	0	1	1	0	1
65	1	1	0	0	1	0	1
66	1	1	0	1	1	0	1
67	1	1	0	1	1	0	1
68	0	1	0	1	1	1	0
69	1	1	0	0	1	0	1
70	0	1	1	0	0	1	0
71	1	1	0	1	1	1	0
72	0	1	1	0	1	0	1
73	1	1	0	0	1	1	0
74	1	1	0	1	1	0	0
75	1	1	0	1	1	0	1
76	1	1	0	1	1	0	1
77	0	1	1	1	1	1	0
78	1	1	0	0	1	0	1
79	1	1	1	0	1	1	0
80	0	1	0	1	1	0	1
81	1	1	0	1	1	0	1
82	1	1	0	1	1	0	0
83	1	1	0	1	1	0	1
84	1	1	0	1	1	1	0
85	1	0	1	1	1	0	1
86	1	1	0	1	1	1	1
87	1	1	1	0	1	0	1
88	1	1	0	0	1	1	0
89	1	1	0	1	1	1	0
90	0	1	1	0	1	1	0
91	1	1	0	1	1	0	1
92	0	0	1	0	1	0	1
93	1	1	0	0	1	0	0
94	1	1	0	1	1	0	1
95	0	1	1	0	1	0	1
96	1	1	0	0	1	0	1
97	1	1	0	1	1	0	1
98	1	1	0	1	1	1	0
99	1	1	0	1	0	0	1
100	0	1	0	0	1	0	1
101	1	1	0	0	1	1	0
102	1	1	0	0	1	0	1
103	1	0	0	1	1	0	0
104	0	1	0	0	1	0	1
105	1	0	0	0	1	0	0
106	1	1	0	1	0	0	0
107	1	0	0	1	1	0	1
108	1	1	0	0	1	0	1
109	1	1	0	1	1	0	1
110	1	1	0	1	1	0	1
111	1	0	0	0	1	0	1
112	1	1	0	1	1	0	0
113	0	1	0	1	1	0	1
114	0	1	1	0	0	0	1
115	1	1	0	1	1	0	1
116	0	1	1	0	0	0	1
117	1	1	0	1	1	0	0
118	1	1	0	1	1	0	1
119	0	1	1	0	0	0	0
120	1	1	0	1	1	0	1
121	1	0	0	1	1	1	0
122	1	0	0	0	1	0	0
123	1	1	0	1	1	0	1
124	1	1	0	0	0	1	0
125	1	0	0	0	1	0	0
126	1	1	0	0	1	1	0
127	0	1	1	0	1	1	0
128	1	1	1	0	0	0	1
129	0	1	1	0	1	1	0
130	1	1	0	1	1	1	0
131	1	0	1	0	1	0	1
132	1	0	0	0	1	0	1
133	1	1	0	1	1	0	1
134	1	1	0	1	1	0	0
135	1	0	0	1	1	0	1
136	1	1	1	0	1	0	1
137	1	1	1	0	1	0	1
138	1	1	0	0	1	0	0
139	0	1	1	1	1	1	0
140	1	1	0	0	1	1	0
141	1	1	0	0	1	0	1
142	1	1	0	0	1	0	1
143	1	1	1	0	1	0	0
144	1	0	1	0	0	0	1
145	1	1	0	1	1	0	1
146	1	0	1	0	0	1	0
147	1	1	0	0	0	1	1
148	1	1	0	1	1	0	1
149	1	1	0	0	1	0	1
150	1	1	0	1	1	1	0
151	0	1	1	0	1	0	0
152	1	0	1	0	1	0	1
153	1	1	0	1	1	0	0
154	0	1	1	0	0	0	1
155	0	0	0	1	1	1	0
156	1	0	0	1	1	0	1
157	1	1	0	0	1	0	0
158	0	0	1	0	1	0	1
159	0	1	1	0	1	0	1
160	1	1	0	1	1	0	1
161	0	1	1	0	1	1	0
162	1	1	0	0	1	0	0
163	1	1	0	0	1	0	0
164	0	1	1	0	1	0	0
165	1	1	0	1	1	0	1
166	0	1	1	0	0	1	1
167	1	0	1	0	1	1	0
168	1	1	0	0	1	1	0
169	1	0	1	0	1	0	1
170	1	0	0	0	1	0	1
171	1	1	0	1	1	1	0
172	0	1	1	0	1	1	0
173	1	1	0	0	1	1	0
174	1	1	0	0	1	1	0
175	1	1	0	1	1	0	1
176	1	1	0	1	1	0	0
177	1	1	0	0	1	0	1
178	1	1	0	1	1	0	0
179	1	1	0	1	1	1	0
180	1	1	0	0	1	0	1
181	1	1	0	0	1	1	0
182	0	1	0	1	1	0	1
183	1	1	0	1	0	0	0
184	0	1	1	0	1	0	1
185	1	0	1	0	1	0	0
186	1	1	0	0	1	0	1
187	1	0	0	1	0	0	1
188	1	1	0	0	1	0	1
189	1	1	0	0	1	0	1
190	1	1	0	1	1	0	1
191	0	1	0	1	1	1	0
192	1	1	0	0	1	0	1
193	1	1	0	0	1	1	0
194	1	1	0	1	1	0	1
195	1	1	1	0	1	0	1
196	1	0	1	0	1	0	1
197	1	1	0	0	1	1	0
198	1	1	0	1	1	0	1
199	1	1	0	0	1	0	1
200	1	1	0	1	1	0	1
201	0	0	1	0	1	0	0
202	1	0	1	0	0	0	0
203	1	1	0	0	1	0	1
204	1	1	0	0	0	0	1
205	1	1	0	1	0	1	0
206	1	1	0	1	1	1	1
207	1	0	1	0	0	0	1
208	0	1	1	0	0	0	0
209	1	1	0	1	1	0	1
210	1	0	1	0	0	0	1
211	1	1	0	1	0	0	0
212	1	1	0	0	1	0	1
213	1	1	0	1	1	0	1
214	0	1	0	1	1	0	1
215	0	1	1	0	1	0	0
216	0	1	1	0	1	0	1
217	0	0	1	0	1	1	0
218	1	1	0	0	1	0	0
219	1	1	1	0	1	1	0
220	1	1	0	0	1	0	1
221	1	1	0	1	1	0	1
222	1	1	1	0	1	0	1
223	1	1	0	1	1	1	0
224	1	0	1	0	1	0	1
225	0	1	1	0	0	1	0
226	1	0	1	0	1	0	1
227	1	1	0	1	1	1	0
228	0	1	1	0	1	1	0
229	1	1	0	1	1	0	1
230	1	0	1	0	1	0	1
231	1	1	0	1	1	1	0
232	1	1	0	1	1	0	1
233	1	1	0	1	1	1	0
234	1	1	0	0	1	1	0
235	1	1	0	1	1	0	1
236	1	0	1	0	0	0	1
237	1	1	1	0	1	0	1
238	1	1	0	0	1	0	1
239	0	1	1	0	1	0	1
240	1	1	0	1	1	0	1
241	1	0	1	0	1	0	0
242	1	0	1	0	0	0	1
243	1	1	1	0	0	0	1
244	1	0	0	1	0	0	1
245	0	1	1	0	1	0	1
246	1	1	0	1	1	0	1
247	1	1	1	1	0	0	1
248	0	0	0	1	1	0	1
249	0	1	1	0	0	0	1
250	0	1	1	0	1	0	1
251	1	0	0	1	1	1	0
252	0	0	1	0	1	1	0
253	1	1	0	1	1	0	1
254	1	1	1	0	1	0	0
255	1	1	0	1	1	0	1
256	1	1	0	0	1	1	0
257	1	1	0	1	1	0	1
258	1	1	1	0	0	0	1
259	1	1	0	0	1	1	0
260	1	0	1	0	1	1	0
261	1	0	0	0	1	0	1
262	1	0	1	0	0	0	0
263	1	1	0	1	1	0	1
264	0	1	1	0	0	1	0
265	0	1	1	0	1	0	1
266	1	1	0	1	1	0	1
267	1	1	0	1	1	0	1
268	1	0	0	0	1	0	0
269	0	0	1	0	0	1	0
270	0	0	1	0	1	0	1
271	0	1	1	0	1	1	0
272	1	1	0	0	1	0	0
273	1	1	0	1	1	1	0
274	0	0	1	1	0	0	1
275	1	1	0	1	1	0	0
276	0	1	1	0	1	0	1
277	1	1	0	1	0	0	1
278	1	1	0	1	0	0	1
279	1	0	0	1	1	0	1
280	0	1	0	1	1	1	0
281	1	1	1	0	1	0	1
282	1	1	1	0	0	0	1
283	1	1	0	0	1	0	1
284	0	1	0	0	1	1	0
285	1	1	0	1	0	0	0
286	1	0	0	1	1	0	1
287	1	1	0	1	1	0	1
288	1	1	0	1	1	0	1
289	1	1	0	1	1	1	0
290	1	1	0	1	0	1	0
291	1	1	0	1	1	0	1
292	1	1	0	1	1	0	1
293	1	1	0	0	1	1	0
294	1	0	0	0	1	1	0
295	1	1	1	0	1	0	0
296	1	0	0	1	1	0	1
297	1	1	0	0	1	0	1
298	1	1	0	1	1	0	1
299	1	1	0	1	1	1	1
300	1	1	0	0	1	0	1
301	1	0	1	0	1	1	0
302	1	1	0	1	1	0	1
303	0	1	1	0	1	0	1
304	1	1	0	0	1	1	0
305	1	1	0	1	1	0	1
306	1	1	0	1	1	0	1
307	1	0	1	0	1	0	1
308	0	1	1	1	1	1	0
309	1	1	0	1	1	0	1
310	1	0	0	1	1	1	0
311	1	1	0	0	1	1	0
312	0	1	1	0	0	0	1
313	0	1	0	0	1	0	1
314	0	1	1	0	1	1	0
315	1	1	0	0	1	0	1
316	0	1	1	0	1	0	0
317	1	1	0	0	1	1	0
318	1	1	0	1	1	1	1
319	1	1	0	0	1	0	1
320	1	1	0	1	1	0	0
321	1	1	0	1	1	0	0
322	1	1	0	0	1	1	0
323	1	1	0	0	1	0	1
324	1	1	1	1	1	1	0
325	1	1	0	1	1	1	0
326	1	0	0	1	1	0	0
327	0	1	1	0	0	0	1
328	1	1	0	0	1	0	1
329	1	1	0	0	1	0	1
330	1	1	0	0	1	0	1
331	1	1	0	1	1	0	1
332	1	1	0	0	1	0	1
333	1	0	1	0	1	0	1
334	1	1	0	0	1	0	1
335	0	1	1	0	1	0	1
336	1	1	0	0	1	0	1
337	1	0	0	0	1	0	1
338	1	1	0	0	1	0	1
339	1	1	0	1	1	0	0
340	1	1	0	1	1	1	0
341	1	1	0	1	1	0	0
342	1	1	1	1	1	0	1
343	1	1	0	1	1	1	0
344	1	1	0	1	1	0	1
345	1	0	1	0	1	0	1
346	1	0	0	1	1	1	0
347	1	0	1	0	1	1	1
348	1	1	0	0	1	0	1
349	1	0	1	0	0	0	1
350	1	0	0	0	1	0	0
351	1	1	0	1	1	0	1
352	1	1	1	0	1	0	1
353	0	0	1	0	1	0	1
354	1	1	0	1	1	0	0
355	1	1	0	1	0	1	0
356	1	1	0	1	1	0	1
357	1	1	0	1	1	0	1
358	1	1	0	0	1	0	1
359	0	1	1	0	0	0	0
360	0	1	1	0	1	0	1
361	1	1	0	1	1	0	1
362	1	1	0	1	1	0	0
363	0	1	1	0	0	0	1
364	1	0	0	1	0	0	1
365	0	1	1	0	1	0	1
366	1	1	0	1	1	0	0
367	1	1	0	0	1	0	0
368	1	0	0	1	1	0	0
369	1	1	0	1	1	0	1
370	1	1	1	0	0	0	1
371	1	1	0	1	1	1	0
372	0	1	1	1	1	0	1
373	1	1	0	1	1	0	1
374	1	0	0	0	1	0	1
375	1	1	0	1	1	0	1
376	0	1	1	0	0	0	1
377	1	1	0	0	1	1	1
378	1	1	0	0	1	0	1
379	1	0	0	1	0	0	1
380	1	1	0	0	1	1	0
381	1	1	0	0	1	0	0
382	1	1	0	1	1	1	0
383	1	0	0	1	0	1	0
384	0	0	1	0	1	0	1
385	1	1	0	1	1	0	1
386	1	1	0	0	1	0	1
387	1	1	0	1	1	0	1
388	1	0	1	0	0	0	0
389	1	1	0	0	1	0	0
390	1	1	0	0	1	1	0
391	1	1	0	1	1	1	0
392	0	1	0	0	1	0	0
393	1	1	0	1	1	0	1
394	1	1	0	0	1	0	1
395	1	1	0	0	1	0	1
396	0	1	0	0	1	0	1
397	1	1	0	1	1	0	1
398	1	1	0	1	1	1	0
399	1	1	0	1	1	0	1
400	1	0	0	1	1	0	1
401	0	0	0	1	1	1	1
402	1	1	1	0	1	0	0
403	1	1	0	1	1	0	1
404	0	1	1	1	1	0	1
405	1	1	0	1	1	0	1
406	1	1	0	0	1	0	1
407	1	1	0	0	1	0	1
408	1	1	0	1	0	1	0
409	1	1	0	1	1	0	1
410	0	1	1	0	1	0	1
411	1	1	0	1	1	0	1
412	1	0	1	0	1	0	1
413	0	1	1	0	1	1	0
414	1	1	0	1	1	0	1
415	1	0	0	1	1	1	0
416	1	1	0	0	1	0	1
417	1	1	0	0	1	1	0
418	0	1	1	1	1	1	1
419	0	0	0	1	1	0	1
420	1	1	0	0	1	0	1
421	1	1	0	0	1	1	0
422	1	1	0	0	1	0	0
423	0	1	1	0	1	1	0
424	1	1	0	1	1	0	1
425	0	1	1	0	1	1	0
426	1	1	0	1	1	1	0
427	1	1	0	1	1	1	0
428	1	1	0	0	1	0	1
429	1	1	1	0	1	1	0
430	1	1	0	1	1	0	1
431	1	1	0	1	1	0	0
432	1	1	0	0	1	0	1
433	1	1	0	1	1	1	0
434	1	1	0	1	1	0	1
435	1	1	0	1	1	1	0
436	1	1	0	1	1	1	0
437	1	0	0	0	1	0	1
438	1	1	0	1	0	0	1
439	1	1	0	1	1	1	0
440	1	1	1	0	0	0	1
441	1	1	0	0	1	0	1
442	0	0	1	1	1	1	0
443	0	1	1	0	0	1	0
444	0	1	1	0	1	0	0
445	0	0	1	0	1	1	0
446	1	1	0	1	1	0	1
447	1	1	0	1	1	0	1
448	1	1	0	1	0	0	1
449	0	1	1	0	1	0	0
450	1	1	0	0	1	0	0
451	1	1	0	1	1	0	0
452	1	1	0	1	1	1	0
453	1	1	0	0	1	0	0
454	0	1	1	0	0	1	0
455	1	1	0	1	1	0	1
456	1	0	1	0	1	0	1
457	0	1	1	0	0	0	1
458	0	0	1	1	1	1	0
459	1	0	1	0	1	0	0
460	0	1	1	0	0	0	1
461	1	1	0	1	1	0	1
462	0	1	1	0	1	0	1
463	1	1	0	1	1	1	0
464	1	1	1	0	1	1	0
465	1	1	0	1	1	0	0
466	1	0	1	0	1	0	1
467	1	1	0	0	0	0	1
468	1	1	1	0	1	0	1
469	1	1	0	0	1	1	0
470	1	1	0	1	1	0	1
471	1	1	0	0	1	0	1
472	1	1	0	1	1	0	1
473	1	0	0	1	1	0	0
474	1	1	0	0	1	0	1
475	1	1	0	1	0	0	1
476	1	1	0	0	1	0	1
477	0	1	1	0	1	1	0
478	1	1	0	0	0	0	0
479	1	1	1	0	0	0	1
480	1	1	0	0	0	1	0
481	1	1	1	1	1	1	0
482	1	1	0	0	1	0	1
483	1	1	0	0	1	0	0
484	1	1	0	0	0	1	0
485	0	0	1	0	1	0	1
486	1	0	1	0	0	0	1
487	0	1	1	0	1	0	1
488	1	1	0	1	1	1	0
489	1	0	0	1	1	1	0
490	1	1	0	1	1	0	1
491	0	1	1	0	0	1	0
492	1	1	0	0	1	0	1
493	1	1	0	1	0	0	1
494	1	1	0	0	1	0	1
495	1	1	0	1	1	0	1
496	1	1	0	1	0	0	1
497	1	1	0	1	1	0	1
498	1	1	0	0	1	0	1
499	1	1	0	1	1	0	1
500	1	1	0	1	1	1	0
501	0	0	1	0	1	0	1
502	1	1	0	1	0	0	1
503	1	1	0	1	1	0	1
504	0	1	1	0	1	1	1
505	0	0	0	1	1	1	0
506	0	1	0	1	1	1	0
507	1	1	0	1	0	0	1
508	1	1	0	1	1	0	1
509	0	1	1	0	1	0	1
510	0	1	1	0	0	1	0
511	1	1	0	0	1	0	1
512	1	1	0	1	1	0	1
513	0	1	1	0	1	0	1
514	1	1	0	0	1	0	1
515	1	1	0	1	1	1	0
516	1	1	0	1	1	0	1
517	0	1	1	0	1	0	1
518	0	1	1	0	1	1	1
519	1	1	0	0	1	0	1
520	1	1	0	1	1	1	0
521	1	1	0	1	1	0	1
522	1	1	0	1	1	0	1
523	1	0	1	0	1	0	1
524	1	1	0	0	1	1	0
525	1	1	0	0	1	1	0
526	1	1	0	0	1	1	0
527	0	0	0	0	0	1	0
528	1	1	0	0	1	1	0
529	0	1	1	0	1	0	1
530	0	1	1	0	0	0	1
531	1	1	0	0	1	1	0
532	1	0	0	1	1	0	1
533	1	1	0	0	1	0	0
534	1	0	1	0	1	0	1
535	1	1	0	0	1	0	1
536	0	0	1	0	1	0	1
537	1	1	0	1	1	0	1
538	1	0	0	1	1	0	1
539	1	1	0	0	1	0	1
540	1	1	0	0	1	0	1
541	1	1	0	1	1	1	0
